time,open,high,low,close,Upper Band,Lower Band,Upper Band Extended,Lower Band Extended,Fibonacci 23.6% Up,Fibonacci 38.2% Up,Fibonacci 50.0% Up,Fibonacci 61.8% Up,Fibonacci 23.6% Down,Fibonacci 38.2% Down,Fibonacci 50.0% Down,Fibonacci 61.8% Down
1623240000,34976.1,36746,34605,36371.9,55949.33821031924,15660.461789680765,59978.22585238308,11631.574147616917,40558.98741763534,43500.07539634195,45877.119105159625,48254.162813977295,31050.812582364662,28109.724603658055,25732.680894840385,23355.637186022715
1623254400,36372,36968.6,35676,36285.7,55949.33821031924,15660.461789680765,59978.22585238308,11631.574147616917,40558.98741763534,43500.07539634195,45877.119105159625,48254.162813977295,31050.812582364662,28109.724603658055,25732.680894840385,23355.637186022715
1623268800,36285.7,37500,36152.2,37388.8,55949.33821031924,15660.461789680765,59978.22585238308,11631.574147616917,40558.98741763534,43500.07539634195,45877.119105159625,48254.162813977295,31050.812582364662,28109.724603658055,25732.680894840385,23355.637186022715
1623283200,37388.9,37648.9,36766.5,36968.5,55949.33821031924,15660.461789680765,59978.22585238308,11631.574147616917,40558.98741763534,43500.07539634195,45877.119105159625,48254.162813977295,31050.812582364662,28109.724603658055,25732.680894840385,23355.637186022715
1623297600,36968.5,37219.9,36550,36972.5,55949.33821031924,15660.461789680765,59978.22585238308,11631.574147616917,40558.98741763534,43500.07539634195,45877.119105159625,48254.162813977295,31050.812582364662,28109.724603658055,25732.680894840385,23355.637186022715
1623312000,36972.5,38480,36258.6,37831.4,55949.33821031924,15660.461789680765,59978.22585238308,11631.574147616917,40558.98741763534,43500.07539634195,45877.119105159625,48254.162813977295,31050.812582364662,28109.724603658055,25732.680894840385,23355.637186022715
1623326400,37831.5,38199.4,36626.5,36910.8,55949.33821031924,15660.461789680765,59978.22585238308,11631.574147616917,40558.98741763534,43500.07539634195,45877.119105159625,48254.162813977295,31050.812582364662,28109.724603658055,25732.680894840385,23355.637186022715
1623340800,36910.8,37159,36130,36678.3,55949.33821031924,15660.461789680765,59978.22585238308,11631.574147616917,40558.98741763534,43500.07539634195,45877.119105159625,48254.162813977295,31050.812582364662,28109.724603658055,25732.680894840385,23355.637186022715
1623355200,36681.6,37072.5,35802.1,36684.7,55949.33821031924,15660.461789680765,59978.22585238308,11631.574147616917,40558.98741763534,43500.07539634195,45877.119105159625,48254.162813977295,31050.812582364662,28109.724603658055,25732.680894840385,23355.637186022715
1623369600,36684.6,37249.8,35928,36759.2,55949.33821031924,15660.461789680765,59978.22585238308,11631.574147616917,40558.98741763534,43500.07539634195,45877.119105159625,48254.162813977295,31050.812582364662,28109.724603658055,25732.680894840385,23355.637186022715
1623384000,36759.2,37394.9,36397.2,37138.2,55949.33821031924,15660.461789680765,59978.22585238308,11631.574147616917,40558.98741763534,43500.07539634195,45877.119105159625,48254.162813977295,31050.812582364662,28109.724603658055,25732.680894840385,23355.637186022715
1623398400,37138.1,37683.8,36920.2,37379.8,55949.33821031924,15660.461789680765,59978.22585238308,11631.574147616917,40558.98741763534,43500.07539634195,45877.119105159625,48254.162813977295,31050.812582364662,28109.724603658055,25732.680894840385,23355.637186022715
